word,pronunciation,meaning,example,image_url,category,difficulty
皮,かわ,da,.,,,easy
缶,かん,đồ hộp,.,,,easy
画面,がめん,màn hình,.,,,easy
番組,ばんぐみ,chương trình,.,,,easy
記事,きじ,ký sự,.,,,easy
近所,きんじょ,xung quanh,.,,,easy
警察,けいさつ,cảnh sát,.,,,easy
犯人,はんにん,tội phạm,.,,,easy
小銭,こぜに,tiền lẻ,.,,,easy
ごちそう,ごちそう,chiêu đãi,.,,,easy
作者,作者,tác giả,.,,,easy
作品,さくひん,tác phẩm,.,,,easy
制服,せいふく,đồng phục,.,,,easy
洗剤,せんざい,bột giặt,.,,,easy
底,そこ,đáy,.,,,easy
地下,ちか,ngầm,.,,,easy
寺,てら,chùa,.,,,easy
道路,どうろ,đường,.,,,easy
坂,さか,dốc,.,,,easy
煙,けむり,khói,.,,,easy
灰,はい,tàn,.,,,easy
判,はん,con dấu,.,,,easy
名刺,めいし,danh thiếp,.,,,easy
免許,めんきょ,giấy phép,.,,,easy
多く,おおく,nhiều,.,,,easy
前半,ぜんはん,phần đầu,.,,,easy
後半,こうはん,phần cuối,.,,,easy
最高,さいこう,cao nhất,.,,,easy
最低,さいてい,thấp nhất,.,,,easy
最初,さいしょ,đầu tiên,.,,,easy
最後,さいご,cuối cùng,.,,,easy
自動,じどう,tự động,.,,,easy
種類,しゅるい,loại,.,,,easy
性格,せいかく,tính cách,.,,,easy
性質,せいしつ,tính chất,.,,,easy
順番,じゅんばん,thứ tự,.,,,easy
番,ばん,lượt,.,,,easy
方法,ほうほう,phương pháp,.,,,easy
製品,せいひん,sản phẩm,.,,,easy
値上がり,ねあがり,tăng giá,.,,,easy
生,なま,tươi,.,,,easy
渇く,かわく,khát,.,,,easy
嗅ぐ,かぐ,ngửi,.,,,easy
叩く,たたく,"đánh, vỗ",.,,,easy
殴る,なぐる,đấm,.,,,easy
ける,ける,đá,.,,,easy
抱く,だく,ôm,.,,,easy
倒れる,たおれる,đổ,.,,,easy
倒す,たおす,làm đổ,.,,,easy
起きる,おきる,thức dậy,.,,,easy
起こす,おこす,đánh thức,.,,,easy
尋ねる,たずねる,hỏi,.,,,easy
呼ぶ,よぶ,gọi,.,,,easy
叫ぶ,さけぶ,gào to,.,,,easy
黙る,だまる,im lặng,.,,,easy
飼う,かう,nuôi,.,,,easy
数える,かぞえる,đếm,.,,,easy
乾く,かわく,khô,.,,,easy
乾かす,かわかす,làm khô,.,,,easy
畳む,たたむ,gấp,.,,,easy
誘う,さそう,"mời, rủ",.,,,easy
おごる,おごる,chiêu đãi,.,,,easy
預かる,あずかる,chăm sóc,.,,,easy
預ける,あずける,gửi,.,,,easy
決まる,きまる,được quyết định,.,,,easy
決める,きめる,quyết định,.,,,easy
写る,うつる,chụp được,.,,,easy
写す,うつす,chụp,.,,,easy
思い出す,おもいだす,nhớ lại,.,,,easy
教わる,おそわる,được dạy,.,,,easy
申し込む,もうしこむ,đăng ký,.,,,easy
断る,ことわる,từ chối,.,,,easy
見つかる,みつかる,được tìm thấy,.,,,easy
見つける,みつける,tìm thấy,.,,,easy
捕まる,つかまる,bị bắt,.,,,easy
捕まえる,つかまえる,bắt,.,,,easy
乗る,のる,leo lên,.,,,easy
乗せる,のせる,cho lên,.,,,easy
降りる,おりる,xuống,.,,,easy
降ろす,おろす,cho xuống,.,,,easy
直る,なおる,được sửa,.,,,easy
直す,なおす,sửa,.,,,easy
治る,なおる,hồi phục,.,,,easy
治す,なおす,cứu chữa,.,,,easy
亡くなる,なくなる,chết,.,,,easy
亡くす,なくす,mất,.,,,easy
生まれる,うまれる,được sinh ra,.,,,easy
生む,うむ,sinh,.,,,easy
出会う,であう,gặp (ngẫu nhiên),.,,,easy
訪ねる,たずねる,thăm,.,,,easy
付き合う,つきあう,"hẹn hò, giao tiếp",.,,,easy
効く,きく,có hiệu quả,.,,,easy
はやる,はやる,phổ biến,.,,,easy
経つ,たつ,qua,.,,,easy
間に合う,まにあう,làm cho kịp giờ,.,,,easy
間に合わせる,まにあわせる,kịp giờ,.,,,easy
通う,かよう,"đi làm, học",.,,,easy
込む,こむ,đông,.,,,easy
すれ違う,すれちあう,"vượt, lướt",.,,,easy
掛かる,かかる,được bao phủ,.,,,easy
掛ける,かける,bao phủ,.,,,easy
動く,うごく,hoạt động,.,,,easy
動かす,うごかす,di chuyển,.,,,easy
離れる,はなれる,tránh xa,.,,,easy
離す,はなす,tách ra,.,,,easy
ぶつかる,ぶつかる,bị đâm,.,,,easy
ぶつける,ぶつける,đâm,.,,,easy
こぼれる,こぼれる,bị tràn,.,,,easy
こぼす,こぼす,tràn,.,,,easy
ふく,ふく,lau,.,,,easy
片付く,かたづく,được dọn dẹp,.,,,easy
片付ける,かたづける,dọn dẹp,.,,,easy
包む,つつむ,bọc,.,,,easy
張る,はる,dán,.,,,easy
無くなる,なくなる,bị mất,.,,,easy
無くす,なくす,mất,.,,,easy
足りる,たりる,đủ,.,,,easy
残る,のこる,bị thừa,.,,,easy
残す,のこす,thừa,.,,,easy
腐る,くさる,thối,.,,,easy
むける,むける,bị lột,.,,,easy
むく,むく,lột,.,,,easy
滑る,すべる,trượt,.,,,easy
積もる,つもる,được tích tụ,.,,,easy
積む,つむ,"tích tụ, chất lại",.,,,easy
空く,あく,bị thủng,.,,,easy
空ける,あける,thủng,.,,,easy
下がる,さがる,bị giảm,.,,,easy
下げる,さげる,giảm,.,,,easy
冷える,ひえる,bị lạnh,.,,,easy
冷やす,ひやす,làm lạnh,.,,,easy
冷める,さめる,bị nguội,.,,,easy
冷ます,さます,làm nguội,.,,,easy
燃える,もえる,cháy,.,,,easy
燃やす,もやす,đốt,.,,,easy
沸く,わく,sôi,.,,,easy
沸かす,わかす,đun sôi,.,,,easy
鳴る,なる,kêu,.,,,easy
鳴らす,ならす,làm kêu,.,,,easy
役立つ,やくだつ,hữu ích,.,,,easy
役立てる,やくだてる,được sử dụng,.,,,easy
飾り,かざり,trang trí,.,,,easy
遊び,あそび,chơi,.,,,easy
集まり,あつまり,tập hợp,.,,,easy
教え,おしえ,dạy,.,,,easy
踊り,おどり,nhảy,.,,,easy
思い,おもい,"suy nghĩ, cảm giác",.,,,easy
考え,かんがえ,"nghĩ, ý tưởng",.,,,easy
片づけ,かたづけ,ngăn nắp,.,,,easy
手伝い,てつだい,giúp đỡ,.,,,easy
働き,はたらき,hoạt động,.,,,easy
決まり,きまり,luật lệ,.,,,easy
騒ぎ,さわぎ,"ồn ào, om xòm",.,,,easy
知らせ,しらせ,"tin tức, thông báo",.,,,easy
頼み,たのみ,yêu cầu,.,,,easy
疲れ,つかれ,"vất vả, mệt mỏi",.,,,easy
違い,ちがい,khác biệt,.,,,easy
始め,はじめ,khởi đầu,.,,,easy
続き,つづき,tiếp tục,.,,,easy
暮れ,くれ,cuối năm,.,,,easy
行き,いき,đi,.,,,easy
帰り,かえり,trở về,.,,,easy
急ぎ,いそぎ,"khẩn cấp, vội",.,,,easy
遅れ,おくれ,gián đoạn,.,,,easy
貸し,かし,cho mượn,.,,,easy
借り,かり,mượn,.,,,easy
勝ち,かち,thắng,.,,,easy
負け,まけ,thua,.,,,easy
迎え,むかえ,đón,.,,,easy
始まり,はじまり,bắt đầu,.,,,easy
終わり,おわり,kết thúc,.,,,easy
戻り,もどり,"trở về, trả lại",.,,,easy
別れ,わかれ,chia ly,.,,,easy
喜び,よろこび,hớn hở,.,,,easy
楽しみ,たのしみ,sung sướng,.,,,easy
笑い,わらい,cười,.,,,easy
驚き,おどろき,ngạc nhiên,.,,,easy
怒り,いかり,giận dữ,.,,,easy
悲しみ,かなしみ,buồn bã,.,,,easy
幸せな,しあわせな,hạnh phúc,.,,,easy
得意な,とくいな,"mạnh, giỏi",.,,,easy
苦手な,にがてな,"yếu, kém",.,,,easy
熱心な,ねっしんな,chăm chỉ,.,,,easy
夢中な,むちゅうな,chú tâm,.,,,easy
退屈な,たいくつな,chán,.,,,easy
健康な,けんこうな,khỏe khoắn,.,,,easy
苦しい,くるしい,cực khổ,.,,,easy
平気な,へいきな,bình thản,.,,,easy
悔しい,くやしい,cay cú,.,,,easy
うらやましい,うらやましい,ghen tỵ,.,,,easy
かゆい,かゆい,ngứa,.,,,easy
おとなしい,おとなしい,trầm lặng,.,,,easy
我慢強い,がまんづよい,chịu đựng giỏi,.,,,easy
正直な,しょうじきな,trung thực,.,,,easy
けちな,けちな,kẹt xỉ,.,,,easy
我儘な,わがままな,ích kỷ,.,,,easy
積極的な,せっきょくてきな,tích cực,.,,,easy
消極的な,しょうきょくてきな,tiêu cực,.,,,easy
満足な,まんぞくな,thỏa mãn,.,,,easy
不満な,ふまんな,bất mãn,.,,,easy
不安な,ふあんな,bất an,.,,,easy
大変な,たいへんな,tồi tệ,.,,,easy
無理な,むりな,vô lý,.,,,easy
不注意な,ふちゅういな,không chú ý,.,,,easy
楽な,らくな,thoải mái,.,,,easy
面倒な,めんどうな,phiền phức,.,,,easy
失礼な,しつれいな,thất lễ,.,,,easy
当然な,とうぜんな,đương nhiên,.,,,easy
意外な,いがいな,không ngờ đến,.,,,easy
結構な,けっこうな,"tốt, đủ",.,,,easy
派手な,はでな,lòe loẹt,.,,,easy
地味な,じみな,giản dị,.,,,easy
おしゃれな,おしゃれな,"thời trang, mốt",.,,,easy
変な,へんな,lạ,.,,,easy
不思議な,ふしぎな,thần bí,.,,,easy
ましな,ましな,tốt lên,.,,,easy
むだな,むだな,lãng phí,.,,,easy
自由な,じゆうな,tự do,.,,,easy
不自由な,ふじゆうな,"tàn tật, không tự do",.,,,easy
温まる,あたたまる,trở nên ấm hơn,.,,,easy
温める,あたためる,"ấm, nóng",.,,,easy
高まる,たかまる,cao lên,.,,,easy
高める,たかめる,làm cao lên,.,,,easy
強まる,つよまる,mạnh lên,.,,,easy
強める,つよめる,làm mạnh lên,.,,,easy
弱まる,よわまる,yếu đi,.,,,easy
弱める,よわめる,làm yếu đi,.,,,easy
広まる,ひろまる,rộng ra,.,,,easy
広める,ひろめる,làm rộng ra,.,,,easy
深まる,ふかまる,sâu hơn,.,,,easy
深める,ふかめる,làm sâu thêm,.,,,easy
世話,せわ,chăm sóc,.,,,easy
家庭,かてい,gia đình,.,,,easy
協力,きょうりょく,hiệp lực,.,,,easy
感謝,かんしゃ,cảm tạ,.,,,easy
お礼,おれい,đáp lễ,.,,,easy
お詫び,おわび,xin lỗi,.,,,easy
おじぎ,おじぎ,cúi chào,.,,,easy
握手,あくしゅ,bắt tay,.,,,easy
いじわる,いじわる,xấu bụng,.,,,easy
いたずら,いたずら,nghịch ngợm,.,,,easy
節約,せつやく,tiết kiệm,.,,,easy
経営,けいえい,quản lý,.,,,easy
反省,はんせい,tự kiểm tra,.,,,easy
実行,じっこう,thực hành,.,,,easy
進歩,しんぽ,tiến bộ,.,,,easy
変化,へんか,"thay đổi, biến hóa",.,,,easy
発達,はったつ,phát triển,.,,,easy
体力,たいりょく,thể lực,.,,,easy
出場,しゅつじょう,tham dự,.,,,easy
活躍,かつやく,hoạt động,.,,,easy
競争,きょうそう,cạnh tranh,.,,,easy
応援,おうえん,cổ vũ,.,,,easy
拍手,はくしゅ,vỗ tay,.,,,easy
人気,にんき,nổi tiếng,.,,,easy
うわさ,うわさ,tin đồn,.,,,easy
情報,じょうほう,thông tin,.,,,easy
交換,こうかん,trao đổi,.,,,easy
流行,りゅうこう,trào lưu,.,,,easy
宣伝,せんでん,tuyên truyền,.,,,easy
広告,こうこく,quảng cáo,.,,,easy
注目,ちゅうもく,chú trọng,.,,,easy
通訳,つうやく,thông dịch,.,,,easy
翻訳,ほにゃく,biên dịch,.,,,easy
伝言,でんごん,tin nhắn thoại,.,,,easy
報告,ほうこく,báo cáo,.,,,easy
録画,ろくが,ghi lại,.,,,easy
混雑,こんざつ,hỗn tạp,.,,,easy
渋滞,じゅうたい,tắc đường,.,,,easy
衝突,しょうとつ,xung đột,.,,,easy
被害,ひがい,thiệt hại,.,,,easy
事故,じこ,tai nạn,.,,,easy
事件,じけん,sự kiện,.,,,easy
故障,こしょう,hỏng,.,,,easy
修理,しゅうり,sửa chữa,.,,,easy
停電,ていでん,mất điện,.,,,easy
調子,ちょうし,trạng thái,.,,,easy
緊張,きんちょう,lo lắng,.,,,easy
自身,じしん,tự tin,.,,,easy
自慢,じまん,tự mãn,.,,,easy
感心,かんしん,quan tâm,.,,,easy
感動,かんどう,cảm động,.,,,easy
興奮,こうふん,hưng phấn,.,,,easy
感想,かんそう,cảm tưởng,.,,,easy
予想,よそう,dự đoán,.,,,easy
専門,せんもん,chuyên môn,.,,,easy
研究,けんきゅう,nghiên cứu,.,,,easy
調査,ちょうさ,điều tra,.,,,easy
原因,げんいん,nguyên nhân,.,,,easy
結果,けっか,kết quả,.,,,easy
解決,かいけつ,giải quyết,.,,,easy
確認,かくにん,xác nhận,.,,,easy
利用,りよう,sử dụng,.,,,easy
理解,りかい,lý giải,.,,,easy
発見,はっけん,phát kiến,.,,,easy
発明,はつめい,phát minh,.,,,easy
関係,かんけい,quan hệ,.,,,easy
団体,だんたい,đoàn thể,.,,,easy
選挙,せんきょ,bầu cử,.,,,easy
税金,ぜいきん,thuế,.,,,easy
責任,せきにん,trách nhiệm,.,,,easy
書類,しょるい,tài liệu,.,,,easy
題名,だいめい,tiêu đề,.,,,easy
条件,じょうけん,điều kiện,.,,,easy
締め切り,しめきり,hạn cuối,.,,,easy
期間,きかん,"thời gian, thời kỳ",.,,,easy
倍,ばい,lần,.,,,easy
くじ,くじ,"xổ số, rút thăm",.,,,easy
近道,ちかみち,đường tắt,.,,,easy
中心,ちゅうしん,trung tâm,.,,,easy
辺り,あたり,"gần, lân cận",.,,,easy
周り,まわり,"xung quanh, vòng quanh",.,,,easy
穴,あな,lỗ,.,,,easy
列,れつ,hàng,.,,,easy
幅,はば,chiều rộng,.,,,easy
範囲,はんい,phạm vi,.,,,easy
内容,ないよう,nội dung,.,,,easy
中身,なかみ,bên trong,.,,,easy
特徴,とくちょう,đặc trưng,.,,,easy
普通,ふつう,bình thường,.,,,easy
当たり前,あたりまえ,đương nhiên,.,,,easy
偽,にせ,giả,.,,,easy
別,べつ,khác,.,,,easy
国籍,こくせき,quốc tịch,.,,,easy
東洋,とうよう,phương đông,.,,,easy
西洋,せいよう,phương tây,.,,,easy
国際,こくさい,quốc tế,.,,,easy
自然,しぜん,tự nhiên,.,,,easy
景色,けしき,phong cảnh,.,,,easy
宗教,しゅうきょう,tôn giáo,.,,,easy
愛,あい,yêu,.,,,easy
届く,とどく,được giao đến,.,,,easy
届ける,とどける,giao đến,.,,,easy
かく,かく,gãi,.,,,easy
つかむ,つかむ,"tóm, chộp",.,,,easy
握る,にぎる,nắm chặt,.,,,easy
抑える,おさえる,giữ,.,,,easy
近づく,ちかづく,lại gần,.,,,easy
近づける,ちかづける,mang đến gần,.,,,easy
合う,あう,gặp,.,,,easy
合わせる,あわせる,"tập hợp, hiệp lực",.,,,easy
当たる,あたる,bị đánh,.,,,easy
当てる,あてる,đánh,.,,,easy
比べる,くらべる,so sánh,.,,,easy
似合う,にあう,hợp,.,,,easy
似る,にる,giống,.,,,easy
似せる,にせる,bắt chước,.,,,easy
分かれる,わかれる,được chia ra,.,,,easy
分ける,わける,chia,.,,,easy
足す,たす,"cộng, thêm vào",.,,,easy
引く,ひく,"kéo, trừ",.,,,easy
増える,ふえる,tăng lên,.,,,easy
増やす,ふやす,làm tăng lên,.,,,easy
減る,へる,giảm xuống,.,,,easy
減らす,へらす,làm giảm xuống,.,,,easy
変わる,かわる,thay đổi,.,,,easy
変える,かえる,làm thay đổi,.,,,easy
代わる・替わる・換わる,かわる,thay,.,,,easy
代える・替える・換える,かえる,đổi,.,,,easy
返る,かえる,được trả lại,.,,,easy
返す,かえす,trả lại,.,,,easy
譲る,ゆずる,nhường,.,,,easy
助かる,たすかる,được giúp,.,,,easy
助ける,たすける,giúp,.,,,easy
いじめる,いじめる,bắt nạt,.,,,easy
だまる,だまる,lừa,.,,,easy
盗む,ぬすむ,lấy cắp,.,,,easy
刺さる,ささる,bị đâm,.,,,easy
刺す,さす,đâm,.,,,easy
殺す,ころす,giết,.,,,easy
隠れる,かくれる,"ẩn náu, trốn",.,,,easy
隠す,かくす,che giấu,.,,,easy
埋まる,うまる,bị chôn,.,,,easy
埋める,うめる,chôn,.,,,easy
囲む,かこむ,vây quanh,.,,,easy
詰まる,つまる,"đầy, chặt",.,,,easy
詰める,つめる,đóng gói,.,,,easy
開く,ひらく,mở,.,,,easy
閉じる,とじる,dđóng,.,,,easy
飛ぶ,とぶ,bay,.,,,easy
飛ばす,とばす,cho bay,.,,,easy
振る,ふる,"rung, vẫy",.,,,easy
めくる,めくる,lật lên,.,,,easy
見かける,みかける,tình cờ thấy,.,,,easy
確かめる,たしかめる,kiểm tra lại,.,,,easy
試す,ためす,thử,.,,,easy
繰り返す,くりかえす,lặp lại,.,,,easy
訳す,やくす,dịch,.,,,easy
行う,おこなう,tổ chức,.,,,easy
間違う,まちがう,bị sai,.,,,easy
間違える,まちがえる,làm sai,.,,,easy
許す,ゆるす,"tha thứ, cho phép",.,,,easy
慣れる,なれる,quen,.,,,easy
慣らす,ならす,khởi động,.,,,easy
立つ,たつ,đứng,.,,,easy
立てる,たてる,dựng lên,.,,,easy
建つ,たつ,được xây,.,,,easy
建てる,たてる,xây,.,,,easy
育つ,そだつ,được nuôi dạy,.,,,easy
育てる,そだてる,"nuôi, dạy",.,,,easy
生える,はえる,mọc,.,,,easy
生やす,はやす,nuôi(râu),.,,,easy
汚れる,よごれる,bị bẩn,.,,,easy
汚す,よごす,làm bẩn,.,,,easy
壊れる,こわれる,bị hỏng,.,,,easy
壊す,こわす,làm hỏng,.,,,easy
割れる,われる,bị vỡ,.,,,easy
割る,わる,làm vỡ,.,,,easy
折れる,おれる,bị gãy,.,,,easy
折る,おる,làm gãy,.,,,easy
破れる,やぶれる,bị rách,.,,,easy
破る,やぶる,xé rách,.,,,easy
曲がる,まがる,"gập, cong",.,,,easy
曲げる,まげる,"bẻ, uốn",.,,,easy
外れる,はずれる,bị rời ra,.,,,easy
外す,はずす,tách ra,.,,,easy
揺れる,ゆれる,bị rung,.,,,easy
揺らす,ゆらす,đung đưa,.,,,easy
流れる,ながれる,chảy,.,,,easy
流す,ながす,cho chảy,.,,,easy
濡れる,ぬれる,bị ướt,.,,,easy
濡らす,ぬらす,làm ướt,.,,,easy
迷う,まよう,lạc đường,.,,,easy
悩む,なやむ,băn khoăn,.,,,easy
慌てる,あわてる,vội vàng,.,,,easy
覚める,さめる,thức dậy,.,,,easy
覚ます,さます,"mở mắt, tỉnh",.,,,easy
眠る,ねむる,ngủ,.,,,easy
祈る,いのる,"cầu, khấn",.,,,easy
祝う,いわう,ăn mừng,.,,,easy
感じる,かんじる,cảm thấy,.,,,easy
クラスメート,,bạn cùng lớp,.,,,easy
グループ,,nhóm,.,,,easy
チーム,,đội,.,,,easy
プロフェッショナル,,chuyên nghiệp,.,,,easy
アマチュア,,nghiệp dư,.,,,easy
トレーニング,,đào tạo,.,,,easy
マッサージ,,mát xa,.,,,easy
アドバイス,,khuyên,.,,,easy
アイデア・アイディア,,ý tưởng,.,,,easy
トップ,,top,.,,,easy
スピード,,tốc độ,.,,,easy
ラッシュ,,đông đúc,.,,,easy
バイク,,xe máy,.,,,easy
ヘルメット,,mũ bảo hiểm,.,,,easy
コンタクトレンズ,,kính áp tròng,.,,,easy
ガラス,,kính,.,,,easy
プラスチック,,nhựa,.,,,easy
ベランダ,,ban công,.,,,easy
ペット,,thú cưng,.,,,easy
ベンチ,,ghế bành,.,,,easy
デザイン,,thiết kế,.,,,easy
バーゲンセール,,sale,.,,,easy
パート,,làm thêm,.,,,easy
コンビニエンスストア,,cửa hàng tiện ích,.,,,easy
レジ,,máy tính tiền,.,,,easy
レシート,,hóa đơn,.,,,easy
インスタント,,ăn liền,.,,,easy
ファストフード,,đồ ăn nhanh,.,,,easy
フルーツ,,trái cây,.,,,easy
デザート,,tráng miệng,.,,,easy
インターネット,,internet,.,,,easy
チャイム,,chuông,.,,,easy
アナウンス,,thông báo,.,,,easy
メッセージ,,tin nhắn,.,,,easy
パンフレット,,tờ rơi,.,,,easy
カード,,card,.,,,easy
インタビュー,,phỏng vấn,.,,,easy
アンケート,,tờ câu hỏi,.,,,easy
データ,,dữ liệu,.,,,easy
パーセント,,phần trăm,.,,,easy
濃い,こい,"đậm, đặc",.,,,easy
薄い,うすい,"mỏng, nhạt",.,,,easy
酸っぱい,すっぱい,chua,.,,,easy
臭い,くさい,thối,.,,,easy
おかしい,おかしい,lạ,.,,,easy
かっこいい,かっこいい,bảnh bao,.,,,easy
うまい,うまい,ngon,.,,,easy
親しい,したしい,thân thiết,.,,,easy
詳しい,くわしい,chi tiết,.,,,easy
細かい,こまかい,"tiểu tiết, bé",.,,,easy
浅い,あさい,nông,.,,,easy
固い・硬い,かたい,cứng,.,,,easy
ぬるい,ぬるい,nguội,.,,,easy
まぶしい,まぶしい,chói,.,,,easy
蒸し暑い,むしあつい,nóng ẩm,.,,,easy
清潔な,せいけつな,sạch,.,,,easy
新鮮な,しんせんな,tươi,.,,,easy
豊かな,ゆたかな,giàu có,.,,,easy
立派な,りっぱな,siêu,.,,,easy
正確な,せいかくな,chính xác,.,,,easy
確かな,たしかな,đích thực,.,,,easy
重要な,じゅうような,quan trọng,.,,,easy
必要な,ひつような,cần thiết,.,,,easy
もったいない,もったいない,lãng phí,.,,,easy
すごい,すごい,"ghê, siêu",.,,,easy
ひどい,ひどい,tồi,.,,,easy
激しい,はげしい,mãnh liệt,.,,,easy
そっくりな,そっくりな,giống,.,,,easy
急な,きゅうな,đột nhiên,.,,,easy
敵とな,てきとな,phù hợp,.,,,easy
特別な,とくべつな,đặc biệt,.,,,easy
完全な,かんぜんな,toàn bộ,.,,,easy
盛んな,さかんな,thịnh vượng,.,,,easy
様々な,さまざまな,đa đạng,.,,,easy
可能な,かのうな,khả thi,.,,,easy
不可能な,ふかのうな,bất khả thi,.,,,easy
基本的な,きほんてきな,cơ bản,.,,,easy
国際的な,こくさいてきな,tính quốc tế,.,,,easy
ばらばらな,ばらばらな,"tung tóe, chia rẽ",.,,,easy
ぼろぼろな,ぼろぼろな,"rách nát, te tua",.,,,easy
非常に,ひじょうに,rất,.,,,easy
大変に,たいへんに,"khủng khiếp, rất nhiều",.,,,easy
ほとんど,ほとんど,gần như hoàn toàn,.,,,easy
大体,だいたい,"phần lớn, trong khoảng",.,,,easy
かなり,かなり,khá,.,,,easy
ずいぶん,ずいぶん,đáng kể,.,,,easy
けっこう,けっこう,rất,.,,,easy
大分,ずいぶん,"chủ yếu, khá",.,,,easy
もっと,もっと,"hơn, nữa",.,,,easy
しっかり,しっかり,toàn bộ,.,,,easy
いっぱい,いっぱい,đầy,.,,,easy
ぎりぎり,ぎりぎり,"gần, sát nút",.,,,easy
ぴったり,ぴったり,"vừa vặn, đúng",.,,,easy
たいてい,たいてい,"đại thể, thường",.,,,easy
同時に,どうじに,cùng lúc,.,,,easy
前もって,まえもって,trước,.,,,easy
すぐに,すぐに,ngay lập tức,.,,,easy
もうすぐ,もうすぐ,sắp,.,,,easy
突然,とつぜん,đột nhiên,.,,,easy
あっという間に,あっというまに,loáng một cái,.,,,easy
いつの間にか,いつのまにか,lúc nào không biết,.,,,easy
しばらく,しばらく,một chút,.,,,easy
ずっと,ずっと,"suốt, nhiều",.,,,easy
相変わらず,あいかわらず,như mọi khi,.,,,easy
次々に,つぎつぎに,lần lượt,.,,,easy
どんどん,どんどん,dần dần,.,,,easy
ますます,ますます,càng ngày càng,.,,,easy
やっと,やっと,"cuối cùng, vừa đủ",.,,,easy
とうとう,とうとう,"sau cùng, cuối cùng, sau tất cả",.,,,easy
ついに,ついに,"cuối cùng, sau cùng",.,,,easy
もちろん,もちろん,tất nhiên,.,,,easy
やはり,やはり,như dự tính,.,,,easy
きっと,きっと,nhất định,.,,,easy
ぜひ,ぜひ,"bằng mọi giá, rất (muốn)",.,,,easy
なるべく,なるべく,càng nhiều càng tốt,.,,,easy
案外,あんがい,không ngờ đến,.,,,easy
もしかすると・もしかしたら・もしかして,,có lẽ,.,,,easy
